Prime,Semantics
Sam sucked the candy,Sensible
Ben got the radio,Sensible
Ian mailed the invite,Sensible
Josh taught the rules,Sensible
Tom visited the hospital,Sensible
Sara jumped the hedge,Sensible
Tim sniffed the perfume,Sensible
Fred lent the car,Sensible
Lucy cut the ribbon,Sensible
Jane licked the plate,Sensible
Owen swallowed the gum,Sensible
Hugh kissed the rose,Sensible
Ian filed the report,Sensible
Kate wore the dress,Sensible
Ian pushed the button,Sensible
Fred chopped the carrots,Sensible
Ella mashed the turnip,Sensible
Anna polished the trophy,Sensible
John carried the kettle,Sensible
Adam chewed the fat,Sensible
Bill trimmed the hair,Sensible
Adam watched the opera,Sensible
Phil solved the problem,Sensible
Jay painted the portrait,Sensible
Jack posted the gift,Sensible
Luke fixed the radio,Sensible
Jay sold the bed,Sensible
Max kicked the door,Sensible
Lucy wiped the desk,Sensible
Ryan stroked the blanket,Sensible
Erin described the church,Sensible
Leo passed the salt,Sensible
Joe iced the donut,Sensible
Emma pulled the rope,Sensible
Rose built the shed,Sensible
Alex dusted the house,Sensible
Lucy counted the shoes,Sensible
Eve typed the message,Sensible
Erin punched the monitor,Sensible
Rob measured the curtains,Sensible
Fred stored the rice,Sensible
Tim took the ticket,Sensible
Luke watered the plants,Sensible
Eve ironed the trousers,Sensible
Josh scrubbed the pot,Sensible
Beth washed the pan,Sensible
Joe entered the office,Sensible
Zoe paid the debt,Sensible
Jack drank the beer,Sensible
Ian labeled the box,Sensible
Tom whisked the cream,Sensible
Hugh dialed the hotline,Sensible
Liz weighed the sugar,Sensible
Tom grated the carrots,Sensible
Ryan knitted the socks,Sensible
Mike ate the steak,Sensible
Ben climbed the stairs,Sensible
Amy lifted the crate,Sensible
Fred served the dessert,Sensible
Ian dented the bowl,Sensible
Dan brushed the hair,Sensible
Andy pulled the rope,Sensible
Alex wrote the report,Sensible
Leo carried the wallet,Sensible
I broke the water,Sklar_violation
I drank the chair,Sklar_violation
I crumpled the river,Sklar_violation
I shampooed the key,Sklar_violation
I laundered the refrigerator,Sklar_violation
I lit the rain,Sklar_violation
I wore the way,Sklar_violation
I built the rice,Sklar_violation
I smelled the melody,Sklar_violation
I scrubbed the thunder,Sklar_violation
I cut the sand,Sklar_violation
I spilled the moon,Sklar_violation
I turned off the door,Sklar_violation
I burnt the clouds,Sklar_violation
I locked the ground,Sklar_violation
I gathered the shower,Sklar_violation
I swallowed the shed,Sklar_violation
I cut the wine,Sklar_violation
I woke up the steam,Sklar_violation
I interviewed the vinegar,Sklar_violation
I solved the peas,Sklar_violation
I tied the chasm,Sklar_violation
I tore the juice,Sklar_violation
I broke the hat,Sklar_violation
I washed the dance,Sklar_violation
I planted the hammer,Sklar_violation
I sewed the smoke,Sklar_violation
I fried the shirt,Sklar_violation
I dug the paint,Sklar_violation
I cooked the stairs,Sklar_violation
I turned up the bread,Sklar_violation
I ironed the coffee,Sklar_violation
I folded the diamond,Sklar_violation
I shaved the glue,Sklar_violation
I heated the water,Sklar_control_A
I moved the chair,Sklar_control_A
I photographed the river,Sklar_control_A
I found the key,Sklar_control_A
I opened the refrigerator,Sklar_control_A
I drew the rain,Sklar_control_A
I looked for the way,Sklar_control_A
I cooked the rice,Sklar_control_A
I played the melody,Sklar_control_A
I heard the thunder,Sklar_control_A
I sprinkled the sand,Sklar_control_A
I photographed the moon,Sklar_control_A
I closed the door,Sklar_control_A
I saw the clouds,Sklar_control_A
I watered the ground,Sklar_control_A
I fixed up the shower,Sklar_control_A
I fixed up the shed,Sklar_control_A
I tasted the wine,Sklar_control_A
I wiped the steam ,Sklar_control_A
I tasted the vinegar,Sklar_control_A
I threw the peas,Sklar_control_A
I found the chasm,Sklar_control_A
I wiped the juice,Sklar_control_A
I moved the hat,Sklar_control_A
I liked the dance,Sklar_control_A
I lifted the hammer,Sklar_control_A
I smelled the smoke,Sklar_control_A
I wore the shirt,Sklar_control_A
I looked for the paint,Sklar_control_A
I fixed the stairs,Sklar_control_A
I baked the bread,Sklar_control_A
I made the coffee,Sklar_control_A
I sold the diamond,Sklar_control_A
I spread the glue,Sklar_control_A
I broke the glass,Sklar_control_B
I drank the chocolate milk,Sklar_control_B
I crumpled the paper,Sklar_control_B
I shampooed the hair,Sklar_control_B
I laundered the scarf,Sklar_control_B
I lit the lamp,Sklar_control_B
I wore the gloves,Sklar_control_B
I built the building,Sklar_control_B
I smelled the pie,Sklar_control_B
I scrubbed the house,Sklar_control_B
I cut the string,Sklar_control_B
I spilled the juice,Sklar_control_B
I turned off the computer,Sklar_control_B
I burnt the stew,Sklar_control_B
I locked the cabinet,Sklar_control_B
I gathered the dice,Sklar_control_B
I swallowed the food,Sklar_control_B
I cut the bread,Sklar_control_B
I woke up the child,Sklar_control_B
I interviewed the woman,Sklar_control_B
I solved the exercise,Sklar_control_B
I tied the shoelace,Sklar_control_B
I tore the map,Sklar_control_B
I broke the border,Sklar_control_B
I washed the floor,Sklar_control_B
I planted the plant,Sklar_control_B
I sewed the sock,Sklar_control_B
I fried the squash,Sklar_control_B
I dug the well,Sklar_control_B
I cooked the tomatoes,Sklar_control_B
I turned up the volume,Sklar_control_B
I ironed the clothes,Sklar_control_B
I folded the vest,Sklar_control_B
I shaved the head,Sklar_control_B
I baked the pie,Sklar_filler
I cooked the tomatoes,Sklar_filler
I imagined the well,Sklar_filler
I imagined the border,Sklar_filler
I lifted the squash,Sklar_filler
I changed the sock,Sklar_filler
I changed the computer,Sklar_filler
I prepared the stew,Sklar_filler
I sweetened the juice,Sklar_filler
I sweetened the chocolate milk ,Sklar_filler
I heard the sound,Sklar_filler
I saw the light,Sklar_filler
I sold the string,Sklar_filler
I wore the vest,Sklar_filler
I warmed up the food,Sklar_filler
I threw the bread,Sklar_filler
I watered the plant,Sklar_filler
I fixed the gloves,Sklar_filler
I liked the scarf,Sklar_filler
I found the exercise,Sklar_filler
I cleaned the house,Sklar_filler
I cleaned the floor,Sklar_filler
I drew the map,Sklar_filler
I closed the cabinet,Sklar_filler
I met the child,Sklar_filler
I met the woman,Sklar_filler
I scattered the dice,Sklar_filler
I painted the building,Sklar_filler
I colored the paper,Sklar_filler
I smelled the hair,Sklar_filler
I bought the clothes,Sklar_filler
I bought the shoe lace,Sklar_filler
I washed the cup,Sklar_filler
I washed the head,Sklar_filler
