Non-sensible,Sensible
The hedge jumped Sara,Sara jumped the hedge
The perfume sniffed Tim,Tim sniffed the perfume
The car lent Fred,Fred lent the car
The ribbon cut Lucy,Lucy cut the ribbon
The plate licked Jane,Jane licked the plate
The gum swallowed Owen,Owen swallowed the gum
The rose kissed Hugh,Hugh kissed the rose
The report filed Ian,Ian filed the report
The dress wore Kate,Kate wore the dress
The button pushed Ian,Ian pushed the button
The carrots chopped Fred,Fred chopped the carrots
The turnip mashed Ella,Ella mashed the turnip
The trophy polished Anna,Anna polished the trophy
The kettle carried John,John carried the kettle
The fat chewed Adam,Adam chewed the fat
The hair trimmed Bill,Bill trimmed the hair
The opera watched Adam,Adam watched the opera
The problem solved Phil,Phil solved the problem
The portrait painted Jay,Jay painted the portrait
The gift posted Jack,Jack posted the gift
The radio fixed Luke,Luke fixed the radio
The bed sold Jay,Jay sold the bed
The door kicked Max,Max kicked the door
The desk wiped Lucy,Lucy wiped the desk
The blanket stroked Ryan,Ryan stroked the blanket
The church described Erin,Erin described the church
The salt passed Leo,Leo passed the salt
The donut iced Joe,Joe iced the donut
The rope pulled Emma,Emma pulled the rope
The shed built Rose,Rose built the shed
The house dusted Alex,Alex dusted the house
The shoes counted Lucy,Lucy counted the shoes
The message typed Eve,Eve typed the message
The monitor punched Erin,Erin punched the monitor
The curtains measured Rob,Rob measured the curtains
The rice stored Fred,Fred stored the rice
The ticket took Tim,Tim took the ticket
The plants watered Luke,Luke watered the plants
The trousers ironed Eve,Eve ironed the trousers
The pot scrubbed Josh,Josh scrubbed the pot
The pan washed Beth,Beth washed the pan
The office entered Joe,Joe entered the office
The debt paid Zoe,Zoe paid the debt
The beer drank Jack,Jack drank the beer
The box labeled Ian,Ian labeled the box
The cream whisked Tom,Tom whisked the cream
The hotline dialed Hugh,Hugh dialed the hotline
The sugar weighed Liz,Liz weighed the sugar
The carrots grated Tom,Tom grated the carrots
The socks knitted Ryan,Ryan knitted the socks
The steak ate Mike,Mike ate the steak
The stairs climbed Ben,Ben climbed the stairs
The crate lifted Amy,Amy lifted the crate
The dessert served Fred,Fred served the dessert
The bowl dented Ian,Ian dented the bowl
The hair brushed Dan,Dan brushed the hair
The rope pulled Andy,Andy pulled the rope
The report wrote Alex,Alex wrote the report
The wallet carried Leo,Leo carried the wallet
